PING 10.0.0.7 (10.0.0.7) 56(84) bytes of data.
64 bytes from 10.0.0.7: icmp_seq=1 ttl=64 time=471 ms
64 bytes from 10.0.0.7: icmp_seq=2 ttl=64 time=505 ms
64 bytes from 10.0.0.7: icmp_seq=3 ttl=64 time=519 ms
64 bytes from 10.0.0.7: icmp_seq=4 ttl=64 time=525 ms
64 bytes from 10.0.0.7: icmp_seq=5 ttl=64 time=526 ms
64 bytes from 10.0.0.7: icmp_seq=6 ttl=64 time=528 ms
64 bytes from 10.0.0.7: icmp_seq=7 ttl=64 time=533 ms
64 bytes from 10.0.0.7: icmp_seq=8 ttl=64 time=546 ms
64 bytes from 10.0.0.7: icmp_seq=9 ttl=64 time=573 ms
64 bytes from 10.0.0.7: icmp_seq=10 ttl=64 time=616 ms
64 bytes from 10.0.0.7: icmp_seq=11 ttl=64 time=681 ms
64 bytes from 10.0.0.7: icmp_seq=12 ttl=64 time=773 ms
64 bytes from 10.0.0.7: icmp_seq=15 ttl=64 time=474 ms
64 bytes from 10.0.0.7: icmp_seq=16 ttl=64 time=456 ms
64 bytes from 10.0.0.7: icmp_seq=17 ttl=64 time=490 ms
64 bytes from 10.0.0.7: icmp_seq=18 ttl=64 time=511 ms
64 bytes from 10.0.0.7: icmp_seq=19 ttl=64 time=522 ms
64 bytes from 10.0.0.7: icmp_seq=20 ttl=64 time=526 ms
64 bytes from 10.0.0.7: icmp_seq=21 ttl=64 time=524 ms
64 bytes from 10.0.0.7: icmp_seq=22 ttl=64 time=528 ms
64 bytes from 10.0.0.7: icmp_seq=23 ttl=64 time=538 ms
64 bytes from 10.0.0.7: icmp_seq=24 ttl=64 time=559 ms
64 bytes from 10.0.0.7: icmp_seq=25 ttl=64 time=594 ms
64 bytes from 10.0.0.7: icmp_seq=26 ttl=64 time=651 ms
64 bytes from 10.0.0.7: icmp_seq=27 ttl=64 time=730 ms
64 bytes from 10.0.0.7: icmp_seq=29 ttl=64 time=611 ms
64 bytes from 10.0.0.7: icmp_seq=30 ttl=64 time=558 ms
64 bytes from 10.0.0.7: icmp_seq=31 ttl=64 time=433 ms
64 bytes from 10.0.0.7: icmp_seq=32 ttl=64 time=470 ms
64 bytes from 10.0.0.7: icmp_seq=33 ttl=64 time=499 ms
64 bytes from 10.0.0.7: icmp_seq=34 ttl=64 time=516 ms
64 bytes from 10.0.0.7: icmp_seq=35 ttl=64 time=523 ms
64 bytes from 10.0.0.7: icmp_seq=36 ttl=64 time=525 ms
64 bytes from 10.0.0.7: icmp_seq=37 ttl=64 time=526 ms
64 bytes from 10.0.0.7: icmp_seq=38 ttl=64 time=531 ms
64 bytes from 10.0.0.7: icmp_seq=39 ttl=64 time=545 ms
64 bytes from 10.0.0.7: icmp_seq=40 ttl=64 time=573 ms
64 bytes from 10.0.0.7: icmp_seq=41 ttl=64 time=616 ms
64 bytes from 10.0.0.7: icmp_seq=42 ttl=64 time=681 ms
64 bytes from 10.0.0.7: icmp_seq=43 ttl=64 time=770 ms
64 bytes from 10.0.0.7: icmp_seq=44 ttl=64 time=787 ms
64 bytes from 10.0.0.7: icmp_seq=46 ttl=64 time=479 ms
64 bytes from 10.0.0.7: icmp_seq=47 ttl=64 time=454 ms
64 bytes from 10.0.0.7: icmp_seq=48 ttl=64 time=489 ms
64 bytes from 10.0.0.7: icmp_seq=49 ttl=64 time=510 ms
64 bytes from 10.0.0.7: icmp_seq=50 ttl=64 time=520 ms
64 bytes from 10.0.0.7: icmp_seq=51 ttl=64 time=523 ms
64 bytes from 10.0.0.7: icmp_seq=52 ttl=64 time=523 ms
64 bytes from 10.0.0.7: icmp_seq=53 ttl=64 time=526 ms
64 bytes from 10.0.0.7: icmp_seq=54 ttl=64 time=536 ms
64 bytes from 10.0.0.7: icmp_seq=55 ttl=64 time=557 ms
64 bytes from 10.0.0.7: icmp_seq=56 ttl=64 time=596 ms
64 bytes from 10.0.0.7: icmp_seq=57 ttl=64 time=652 ms
64 bytes from 10.0.0.7: icmp_seq=58 ttl=64 time=733 ms
64 bytes from 10.0.0.7: icmp_seq=60 ttl=64 time=597 ms

--- 10.0.0.7 ping statistics ---
60 packets transmitted, 55 received, 8% packet loss, time 59121ms
rtt min/avg/max/mdev = 433.954/559.703/787.331/82.318 ms
